,id,name,season_number,place,winner,miss_congeniality,image_url,quote
0,27,Mimi Imfurst,A1,12.0,0,0,http://www.nokeynoshade.party/images/mimi-imfurst.jpg,"This time around, I will not pick nobody up, it is time for America to see who I really am."
1,20,Pandora Boxx,A1,11.0,0,1,http://www.nokeynoshade.party/images/pandora-boxx.jpg,I'm Pandora Boxx and I'm thirty-bleep years old.
2,2,Tammie Brown,A1,10.0,0,0,http://www.nokeynoshade.party/images/tammie-brown.jpg,"I'm not a slut, I'm a lady. You look under my skirt, and it will stick you in the eye though."
3,35,Manila Luzon,A1,7.0,0,0,http://www.nokeynoshade.party/images/manila-luzon.jpg,Try something new -- do it with an Indian guy!
4,46,Latrice Royale,A1,7.0,0,1,http://www.nokeynoshade.party/images/latrice-royale.jpg,Jesus is a biscuit! Let him sop you up!
5,34,Alexis Mateo,A1,6.0,0,0,http://www.nokeynoshade.party/images/alexis-mateo.jpg,I don't like when they label you as 'the latin queen'.
6,33,Yara Sofia,A1,5.0,0,1,http://www.nokeynoshade.party/images/yara-sofia.jpg,""""""
7,9,Shannel,A1,3.0,0,0,http://www.nokeynoshade.party/images/shannel.jpg,I am amazed at myself; In my mind... I've already won.
8,22,Jujubee,A1,3.0,0,0,http://www.nokeynoshade.party/images/jujubee.jpg,"Jujubee's just this fabulous Asian girl, she's very like poppy and like, fashion-forward. She loves accessories and she likes glitter, 'cause it's wicked sparkly!"
9,23,Raven,A1,2.0,0,0,http://www.nokeynoshade.party/images/raven.jpg,"I like to be that mysterious, dark, ice queen. I think I have a look that people might be a little intimidated by."
10,48,Chad Michaels,A1,1.0,1,0,http://www.nokeynoshade.party/images/chad-michaels.jpg,"Everything I've gone through in my life has been because of Cher... the people I've gotten to meet, the clothes on my back. I basically owe her everything."
11,59,Coco Montrese,A2,10.0,0,0,http://www.nokeynoshade.party/images/coco-montrese.jpg,I'm not joking bitch!
12,79,Adore Delano,A2,9.0,0,0,http://www.nokeynoshade.party/images/adore-delano.jpg,So Laganja has ideas and I mean I was raised right so all I can do is nervous laugh at them because I don't know how to respond to them. I'm not going to say 'No bitch that's an awful idea and mine is better' but that was the truth of this situation.
13,93,Ginger Minj,A2,8.0,0,0,http://www.nokeynoshade.party/images/ginger-minj.jpg,I'm about to flood my basement.
